@RELATION meta-features

@ATTRIBUTE task_id NUMERIC
@ATTRIBUTE AutoCorrelation NUMERIC
@ATTRIBUTE Dimensionality NUMERIC
@ATTRIBUTE MajorityClassPercentage NUMERIC
@ATTRIBUTE MajorityClassSize NUMERIC
@ATTRIBUTE MinorityClassPercentage NUMERIC
@ATTRIBUTE MinorityClassSize NUMERIC
@ATTRIBUTE NumberOfBinaryFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfSymbolicFeatures NUMERIC
@ATTRIBUTE PercentageOfBinaryFeatures NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfSymbolicFeatures NUMERIC

@DATA
3.0,0.9991135652559447,0.005042899661557009,0.5472015663840565,0.031904421840921814,0.954719929548647,0.03290996819352186,1.0,0.0,0.018612521150592216,0.027637109174782164,0.0,0.0,0.0,0.15,1.0,0.0,0.0,0.0,1.0
6.0,0.040904195803964136,0.000334724832504592,0.03274351434229436,0.015382833761170408,0.055682982791586996,0.015751779648181405,0.0,0.24489795918367346,0.007332205301748449,0.1998974884674526,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.9417064122946475,0.0582935877053524
11.0,0.6971520401724681,0.003472931261522962,0.4815913952856868,0.005249850417864932,0.14067762906309753,0.0009303935781206049,0.0,0.01020408163265306,0.0005640157924421884,0.0012813941568426447,0.0,0.0,0.0022522522522522522,0.0,0.0,0.0,0.0,0.8004504504504504,0.19954954954954954
12.0,0.9955500939027722,0.04758338526380913,0.09614735043414332,0.0035513694003203953,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.12013536379018612,0.015376729882111738,0.0,0.0,0.12162162162162163,0.0,0.0,0.0,0.0,0.9959521733715282,0.004047826628471789
14.0,0.9955500939027722,0.01685968595873419,0.09614735043414332,0.0035513694003203953,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.04117315284827975,0.015376729882111738,0.0,0.0,0.04279279279279279,0.0,0.0,0.0,0.0,0.9875687375687375,0.01243126243126243
15.0,0.6318383790232206,0.006240764217516634,0.6892929028660465,0.008531006929030515,0.6836206872970674,0.005084709089728887,0.02857142857142857,0.0,0.00338409475465313,0.0020399794976934905,0.00032,1.9939801738551313e-06,0.005067567567567568,0.0,0.10571428571428572,0.0228898426323319,0.00328928046989721,0.9005067567567567,0.09949324324324323
16.0,0.9955500939027722,0.014226226018299194,0.09614735043414332,0.0035513694003203953,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.03440496333897349,0.015376729882111738,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.9851697851697852,0.01483021483021483
18.0,0.9955500939027722,0.0014978363061967151,0.09614735043414332,0.0035513694003203953,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.001692047377326565,0.015376729882111738,0.0,0.0,0.0033783783783783786,0.0,0.0,0.0,0.0,0.8576254826254825,0.14237451737451734
20.0,0.9955500939027722,0.05285030514467912,0.09614735043414332,0.0035513694003203953,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.13367174280879865,0.015376729882111738,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
21.0,0.5993366659678092,0.0017396431988755455,0.7373769792297546,0.02304529926077474,0.05754948303944479,0.001276586537421295,0.0,0.02040816326530612,0.001692047377326565,0.012588416196822142,0.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,1.0
22.0,0.9955500939027722,0.01049549110268295,0.09614735043414332,0.0035513694003203953,0.18470363288718927,0.004197589631520869,0.0,0.08163265306122448,0.024816694867456288,0.015376729882111738,0.0,0.0,0.026463963963963964,0.0,0.0,0.0,0.0,0.9797179992492492,0.020282000750750748
23.0,0.9966556640276717,0.002941352563431082,0.4455037561377478,0.011831464360850013,0.441663129446675,0.007075318605707857,0.08571428571428572,0.01020408163265306,0.00338409475465313,0.009974372116863146,0.0,0.0,0.0011261261261261261,0.029166666666666667,0.3171428571428571,0.0,0.0,0.2001126126126126,0.7998873873873874
24.0,0.726370827577422,0.0012042571720197134,0.5426678700662034,0.08090945938121248,0.9633698702614258,0.08460090442910617,0.14285714285714285,0.0,0.01071630005640158,0.07815479241414659,0.0496,0.00030906692694754534,0.0,0.09166666666666666,0.22981366459627328,0.3052683407188577,0.01907269349597613,0.0,1.0
28.0,0.09254802322790796,0.005038012436087532,0.09804824704217306,0.010731311883576847,0.18180222232806895,0.01185710885604864,0.0,0.08163265306122448,0.03440496333897349,0.05248590466427473,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.9851697851697852,0.01483021483021483
29.0,0.9782807548757184,0.010139274299145849,0.5823030353990548,0.007083437879986876,0.887749050904758,0.0065127550468442345,0.14285714285714285,0.0,0.00676818950930626,0.00194771911840082,0.00074,8.349791978018362e-06,0.0033783783783783786,0.0375,0.33035714285714285,0.0536231884057971,0.008720950648024006,0.37521114864864863,0.6247888513513513
31.0,0.5695995185426251,0.009178761132465452,0.7371296866617656,0.013201829727277991,0.5923518164435947,0.006361295627150183,0.08571428571428572,0.0,0.009588268471517203,0.005125576627370579,0.0,0.0,0.003941441441441441,0.05416666666666667,0.15102040816326529,0.0,0.0,0.333521021021021,0.6664789789789789
32.0,0.1029077854586309,0.0006404604595048752,0.10050142743908594,0.021771438497616338,0.17650764957514728,0.022697275894151502,0.0,0.08163265306122448,0.007332205301748449,0.10755509994874424,0.0,0.0,0.009009009009009009,0.0,0.0,0.0,0.0,0.9417064122946475,0.0582935877053524
36.0,0.14812385576591955,0.003761737835077161,0.14193180302183062,0.00606048908532937,0.27205681507784757,0.007010407425838977,0.0,0.05102040816326531,0.009024252679075015,0.018554587391081498,0.0,0.0,0.010698198198198198,0.0,0.0,0.0,0.0,0.9505349099099099,0.04946509009009009
37.0,0.5502244973985395,0.005105127787105069,0.684827308532081,0.009341645596494953,0.6921406947100063,0.005668909708548803,0.02857142857142857,0.0,0.0028200789622109417,0.0027473090722706303,0.0,0.0,0.0045045045045045045,0.0,0.11746031746031746,0.0,0.0,0.8893893893893894,0.11061061061061059
41.0,0.9457975296747733,0.023095999280342637,0.13321733913251974,0.0014668699696975547,0.0047535196481611605,4.3274119912586275e-05,0.45714285714285713,0.17346938775510204,0.01804850535815003,0.001875961045617632,0.00242,0.0002912457291437151,0.0,0.14583333333333334,0.46984126984126984,0.1771595900439239,0.1365820438894658,0.0,1.0
43.0,0.9998351790294777,0.005494531024534569,0.6366612896155829,0.053502152052652914,0.7840377206218783,0.0390981673410217,0.02857142857142857,0.0,0.030456852791878174,0.04203997949769349,0.0,0.0,0.03209459459459459,0.0,0.018226600985221674,0.0,0.0,0.9833119757688722,0.01668802423112768
45.0,0.9994253929394545,0.008492190332947656,0.5435623980831001,0.031634208951767,0.470951887171311,0.01646580262673908,0.0,0.01020408163265306,0.032712915961646924,0.027575602255253715,0.0,0.0,0.0,0.25416666666666665,0.0,0.0,0.0,0.0,1.0
49.0,0.9990075947408565,0.004543175245666342,0.6873944531966438,0.011773561598888267,0.6872427819269751,0.007053681545751563,0.02857142857142857,0.0,0.00338409475465313,0.00469502819067145,0.0,0.0,0.0,0.0375,0.10571428571428572,0.0,0.0,0.0,1.0
53.0,0.25800173115348213,0.009818967902854891,0.2646009431306855,0.003898785972090869,0.4603239177503854,0.004175952571564576,0.0,0.02040816326530612,0.008460236886632826,0.003546899026140441,0.0,0.0,0.010135135135135136,0.0,0.0,0.0,0.0,0.9479018492176385,0.052098150782361304
58.0,0.3320838739206459,0.0035607132595374623,0.35083099869525186,0.03234834301596186,0.6547219885277247,0.0356362377480148,0.0,0.01020408163265306,0.02086858432036097,0.04613018964633521,0.0,0.0,0.02252252252252252,0.0,0.0,0.0,0.0,0.9761590859151834,0.023840914084816523
219.0,0.8533475981847276,4.882890782707108e-05,0.6040773783598086,0.502962691320376,0.8462052944496657,0.41610230001947335,0.02857142857142857,0.0,0.0028200789622109417,0.4593746796514608,0.0,0.0,0.003941441441441441,0.004166666666666667,0.11746031746031746,0.0,0.0,0.7782157157157158,0.22178428428428426
2074.0,0.18744180448380712,0.002487260926119091,0.2436829425985105,0.029240894790681517,0.17899782627442465,0.013393340112945453,0.0,0.04081632653061224,0.018612521150592216,0.06078933880061507,0.0,0.0,0.02027027027027027,0.0,0.0,0.0,0.0,0.9735208181154128,0.02647918188458729
2079.0,0.393217953918343,0.01188855324508697,0.2999379301586863,0.003821582289475208,0.2716611937816942,0.002142068935673021,0.0,0.030612244897959183,0.009024252679075015,0.0024192721681189134,0.0019,5.583144486794368e-05,0.007882882882882882,0.020833333333333332,0.0,0.12907608695652173,0.04373491668262785,0.7003941441441441,0.29960585585585586
3021.0,0.8865488678968987,0.003452451898253407,0.9921971539676141,0.06803574530505105,0.10570288469531965,0.004868338490165956,0.6,0.0,0.014664410603496898,0.03354177344951307,0.07544,0.0007557184858910948,0.003941441441441441,0.09166666666666666,0.74,1.0,0.07700596247487085,0.2334647147147147,0.7665352852852854
3022.0,0.0,0.005725115857046493,0.08643549685493694,0.001428268128389724,0.16617416999826176,0.0018175130363286237,0.02857142857142857,0.09183673469387756,0.005076142131979695,0.005023065094823168,0.0,0.0,0.00563063063063063,0.008333333333333333,0.08131868131868132,0.0,0.0,0.7696638946638947,0.23033610533610532
3481.0,0.300041430059967,0.03475020769143733,0.03042138175208819,0.005481461465711914,0.05878075869255003,0.006318021507237597,0.0,0.24489795918367346,0.34630569655950366,0.07480266529984624,0.0,0.0,0.3474099099099099,0.0,0.0,0.0,0.0,0.9989440289804368,0.0010559710195632527
3485.0,0.9846735520367588,0.05466584619833797,0.8663292144805308,0.03782980448167378,0.3458491445838739,0.009195750481424583,0.17142857142857143,0.0,0.16694867456288776,0.01954894925679139,0.0,0.0,0.16554054054054054,0.020833333333333332,0.021142857142857144,0.0,0.0,0.9805518018018018,0.019448198198198197
3492.0,0.8162591343051959,0.005487496539697455,0.5234689079192248,0.00505684121132578,1.0,0.005885280308111734,0.08571428571428572,0.0,0.001692047377326565,0.0005740645822655049,0.0,0.0,0.0,0.025,0.45306122448979586,0.0,0.0,0.0,1.0
3493.0,0.4400231359764433,0.005073747731138467,0.6914468080121541,0.007315048927833858,0.6795112034435914,0.004327411991258628,0.08571428571428572,0.0,0.001692047377326565,0.001035366478728857,0.0,0.0,0.0,0.025,0.45306122448979586,0.0,0.0,0.0,1.0
3494.0,0.770384086495006,0.005507445439331947,0.5446807180831954,0.005249850417864932,0.9595295124628117,0.0056256355886362165,0.08571428571428572,0.0,0.001692047377326565,0.0005535622757560226,0.0,0.0,0.0,0.025,0.45306122448979586,0.0,0.0,0.0,1.0
3510.0,0.9983456647074151,0.0006225940024315219,0.16241629691793807,0.030842871204956476,0.1408940374151351,0.016790358526083477,0.0,0.07142857142857142,0.006204173716864072,0.0969861609431061,0.0,0.0,0.007882882882882882,0.0,0.0,0.0,0.0,0.9338588588588588,0.06614114114114114
3512.0,0.9917048974427355,0.04531568364843455,0.16736761001499023,0.001621277334928876,0.32058636073932434,0.002033883635891555,0.0,0.04081632653061224,0.032712915961646924,0.0010251153254741158,0.0,0.0,0.033783783783783786,0.004166666666666667,0.0,0.0,0.0,0.9682868352223192,0.0317131647776809
3543.0,0.609250470654212,0.005228571221812959,0.5832939259671363,0.00505684121132578,0.8858585086042065,0.004673604950559318,0.05714285714285714,0.0,0.0011280315848843769,0.0,0.00064,3.9879603477102626e-06,0.0011261261261261261,0.0125,0.35238095238095235,0.064,0.015328046989720998,0.333521021021021,0.6664789789789789
3549.0,0.9964809654011988,0.037015883558716385,0.3919951231400752,0.005809577116828473,0.11417710410305495,0.0010602159378583639,0.0,0.02040816326530612,0.03778905809362662,0.003495643259866735,0.0,0.0,0.039414414414414414,0.0,0.0,0.0,0.0,0.9864706255551327,0.013529374444867404
3560.0,0.9937708444420017,0.0027151644530665517,0.19707995168454057,0.002682827970894212,0.2954386789850083,0.002531536014886297,0.02857142857142857,0.04081632653061224,0.0005640157924421884,0.003044592516658124,0.0,0.0,0.0,0.016666666666666666,0.21142857142857144,0.0,0.0,0.0,1.0
3561.0,0.5454832264170785,0.006493050002736111,0.7015195568713419,0.008337997722491363,0.6602931803696621,0.0047168790704719046,0.02857142857142857,0.0,0.00338409475465313,0.0017631983598154792,0.01332,0.00014954851303913486,0.002815315315315315,0.016666666666666666,0.10571428571428572,0.9910714285714286,0.2566079295154185,0.5002815315315315,0.49971846846846846
3567.0,0.9719949943003052,0.02102933086442293,0.16024558405690556,0.0012352589218505724,0.005338432122370935,0.0,0.0,0.1326530612244898,0.011280315848843767,0.0,0.0,0.0,0.01126126126126126,0.0125,0.0,0.0,0.0,0.8338025525525526,0.1661974474474474
3573.0,0.09564925263095603,0.004883713372470282,0.1095316720739439,0.1517245372604273,0.16469975416552854,0.13646493714434083,0.0,0.08163265306122448,0.4404963338973491,0.7124551512045105,0.0,0.0,0.44144144144144143,0.0,0.0,0.0,0.0,0.9992884604349573,0.0007115395650427498
3889.0,0.8849985957008499,0.0065780784229667495,0.9918676592334124,0.2604273223832777,0.10633153507598042,0.019040612761537963,0.02857142857142857,0.0,0.12013536379018612,0.14243977447462838,0.0,0.0,0.12162162162162163,0.0,0.004871626069782752,0.0,0.0,0.9959521733715282,0.004047826628471789
3891.0,0.5001705153677222,0.12285138616227997,0.5324022449773761,0.03371870838238984,0.9829558862123188,0.036761364865742045,0.02857142857142857,0.0,0.5454032712915962,0.030425422860071757,0.0,0.0,0.5461711711711712,0.0,0.0010887156098278652,0.0,0.0,0.9995326170660876,0.000467382933912285
3896.0,0.6264306568957658,0.0046759410194945825,0.7925353642708023,0.06589334311246646,0.4866420836186872,0.024363329510786073,0.02857142857142857,0.0,0.025380710659898477,0.041640184520758586,0.0,0.0,0.02702702702702703,0.0,0.021574344023323616,0.0,0.0,0.9801434087148372,0.019856591285162713
3899.0,0.71311006280747,0.00013106015023437942,0.7065821742297749,0.2011348941344502,0.6506340993611959,0.11039227989700759,0.02857142857142857,0.0,0.0011280315848843769,0.15422860071758074,0.0,0.0,0.002815315315315315,0.0,0.17619047619047618,0.0,0.0,0.8338025525525526,0.1661974474474474
3902.0,0.7804116578355526,0.011401006363408656,0.9271969226213509,0.024396363706548803,0.2297182814143369,0.0037215743124824198,0.02857142857142857,0.0,0.019176536943034405,0.00982060481804203,0.0,0.0,0.020833333333333332,0.0,0.02781954887218045,0.0,0.0,0.9742324561403508,0.02576754385964912
3903.0,0.8143834084536665,0.01063252761909714,0.9482615310429903,0.02677037694698037,0.18952864337714032,0.0033321072332691435,0.02857142857142857,0.0,0.019176536943034405,0.01089697590978985,0.0,0.0,0.020833333333333332,0.0,0.02781954887218045,0.0,0.0,0.9742324561403508,0.02576754385964912
3904.0,0.9998688161303616,0.000848745487162075,0.8509283421289112,0.16913396769025882,0.37523281376391987,0.045437825908215594,0.02857142857142857,0.0,0.01015228426395939,0.10645822655048692,0.0001,3.1155940216486427e-06,0.011824324324324325,0.0,0.048051948051948054,0.0004593477262287551,0.00015001925139749694,0.9550829238329238,0.04491707616707617
3913.0,0.994294121600932,0.01845977352790654,0.838639022156306,0.007701067340912161,0.3986798824934251,0.002185343055585607,0.02857142857142857,0.0,0.01015228426395939,0.00022552537160430548,0.0,0.0,0.011824324324324325,0.0,0.048051948051948054,0.0,0.0,0.9550829238329238,0.04491707616707617
3917.0,0.9991037652734062,0.004540133930603938,0.8924871092325034,0.034104726795468145,0.2959419115200538,0.006923859186013804,0.02857142857142857,0.0,0.01015228426395939,0.016494105586878523,0.0,0.0,0.011824324324324325,0.0,0.048051948051948054,0.0,0.0,0.9550829238329238,0.04491707616707617
3918.0,0.9982474327000869,0.008668612370334297,0.983446463598049,0.019609735384377835,0.12239852277644928,0.001536231256896813,0.02857142857142857,0.0,0.01015228426395939,0.006242952332137366,0.0,0.0,0.011824324324324325,0.0,0.048051948051948054,0.0,0.0,0.9550829238329238,0.04491707616707617
3946.0,0.8639227017372401,0.001989415495077914,0.9791646168213157,0.8938642373241203,0.13056795411089867,0.07932146179977065,0.14285714285714285,0.0,0.12803158488437677,0.5074320861096874,1.0,1.0,0.10810810810810811,0.15833333333333333,0.022881880024737167,1.0,0.9983326210118808,0.8316368316368316,0.16836316836316836
3948.0,0.8641827206088764,0.001989415495077914,0.9789509560425731,0.8936712281175813,0.13097560229445507,0.07953783239933358,0.14285714285714285,0.0,0.12803158488437677,0.5074320861096874,1.0,1.0,0.10810810810810811,0.15833333333333333,0.022881880024737167,1.0,0.9983326210118808,0.8316368316368316,0.16836316836316836
3954.0,1.0,0.000238566161177983,0.6819733026646113,0.2377101387736195,0.6975859164047908,0.14457883462795076,0.02857142857142857,0.0,0.0045121263395375075,0.18985135827780625,0.0,0.0,0.006193693693693694,0.0,0.08809523809523809,0.0,0.0,0.9171828078078077,0.08281719219219216
7592.0,0.6344593537920856,9.644618658990041e-05,0.801995212790802,0.7168168921657563,0.46859342682452954,0.25274249734946014,0.05714285714285714,0.0,0.006204173716864072,0.49556125064069706,0.0724,0.000805692613998339,0.0033783783783783786,0.03333333333333333,0.14095238095238097,0.07411653904426518,0.012680662107989314,0.4002252252252252,0.5997747747747748
9914.0,0.96553237069505,0.000505867075688782,1.0,0.08805080002316111,0.09081566004701287,0.00551745028885475,0.02857142857142857,0.0,0.0011280315848843769,0.04447975397232189,0.0,0.0,0.002815315315315315,0.0,0.17619047619047618,0.0,0.0,0.8338025525525526,0.1661974474474474
9946.0,0.6250328636029024,0.023874146406404263,0.6595884725838488,0.006581613942985081,0.7402944349047504,0.0044572343509963865,0.02857142857142857,0.0,0.015228426395939087,0.0007073295745771399,0.0,0.0,0.016891891891891893,0.0,0.03410138248847926,0.0,0.0,0.9682868352223192,0.0317131647776809
9950.0,0.6982823290216286,1.0,0.10157306197839348,0.0008492405087722685,0.020145127966433717,0.00010818529978146569,0.0,0.1836734693877551,0.7315284827975184,0.0007278318810866222,0.0,0.0,0.7319819819819819,0.0,0.0,0.0,0.0,0.9997939907624765,0.00020600923752345728
9952.0,0.591924515358751,0.00044896813228919186,0.7440882908547127,0.07338210032618556,0.5790753397030456,0.03418655473094316,0.02857142857142857,0.0,0.0011280315848843769,0.05027165556125064,0.0,0.0,0.002815315315315315,0.0,0.17619047619047618,0.0,0.0,0.8338025525525526,0.1661974474474474
9954.0,0.938135630173212,0.01779236968763825,0.0,0.0,0.0012619502868068827,0.00021637059956293138,0.0,1.0,0.03440496333897349,0.011276268580215274,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.9851697851697852,0.01483021483021483
9955.0,0.938135630173212,0.01779236968763825,0.0,0.0,0.0012619502868068827,0.00021637059956293138,0.0,1.0,0.03440496333897349,0.011276268580215274,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.9851697851697852,0.01483021483021483
9956.0,0.9380968836453074,0.017803520856085213,6.681075007583536e-06,0.0,0.0,0.00019473353960663826,0.0,1.0,0.03440496333897349,0.011266017426960533,0.0,0.0,0.036036036036036036,0.0,0.0,0.0,0.0,0.9851697851697852,0.01483021483021483
9957.0,0.9972061322909306,0.01743484525852114,0.6971315787929012,0.013182528806624075,0.6686651019908838,0.007572970984702599,0.02857142857142857,0.0,0.02143260011280316,0.005689390056381343,0.0,0.0,0.023085585585585586,0.0,0.025170068027210883,0.0,0.0,0.976740132990133,0.02325986700986701
9960.0,0.9276381418385149,0.001972785826245842,0.4210636776384799,0.042249715311420355,0.10341308601963632,0.0069671333059263905,0.0,0.02040816326530612,0.011844331641285956,0.05080471553049718,0.0,0.0,0.013513513513513514,0.0,0.0,0.0,0.0,0.9605405405405405,0.03945945945945946
9964.0,0.9252999076252013,0.07077136097599149,0.0979580349997581,0.002817934415471618,0.1792017898573947,0.0032239219334876776,0.0,0.08163265306122448,0.14269599548787365,0.011204510507432087,0.0,0.0,0.14414414414414414,0.0,0.0,0.0,0.0,0.9966698215725452,0.003330178427454692
9967.0,0.9995370907431158,0.0076499252525684056,0.687209458346597,0.02416475265870182,0.6875957377433523,0.014431918990847524,0.02857142857142857,0.0,0.01692047377326565,0.01477191184008201,0.0,0.0,0.018581081081081082,0.0,0.031092436974789913,0.0,0.0,0.9711347376788554,0.028865262321144673
9968.0,0.9996375315450388,0.0,0.057128741389408356,0.0557796606898149,0.04307614149214755,0.030097150399203756,0.0,0.1836734693877551,0.0,0.4641824705279344,0.0,0.0,0.0011261261261261261,0.004166666666666667,0.0,0.0,0.0,0.5002815315315315,0.49971846846846846
9970.0,0.5095230742764536,0.03653748384698457,0.5234689079192248,0.011387543185809963,1.0,0.012982235973775883,0.02857142857142857,0.0,0.05470953186689227,0.007298821117375705,0.0,0.0,0.05630630630630631,0.0,0.010466760961810467,0.0,0.0,0.9906564980822407,0.009343501917759343
